Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp,Engine Condition
973,3.655193075,4.952587673,2.911512332,74.64118858,80.17345938,1
693,2.419464025,10.60218312,1.929470444,75.46172614,78.26520701,0
750,3.746638972,6.549353047,2.406615095,82.05934067,65.77231004,0
416,3.549662429,4.72822215,1.935778254,77.34657561,74.47554112,1
750,3.053867608,5.684663147,4.669778876,74.36256606,87.43778595,1
653,4.345529943,6.160082896,1.878802838,85.14396925,72.42792757,1
686,5.312312798,8.061524398,2.989629733,75.10060761,70.37369142,1
629,2.233660094,7.074076863,2.825666318,87.32331838,90.89839243,0
488,2.51625607,9.828955771,5.559120438,75.09550678,77.71608732,1
670,3.036105543,7.160957911,2.766303975,76.87575722,84.20774413,1
629,3.652638061,7.061919461,1.945130458,78.03313042,77.48147395,0
562,3.316979091,4.998927423,1.779013138,76.56570824,83.53378381,0
627,4.219392694,5.266725582,3.047956518,74.08934443,80.01933106,1
636,2.948587585,8.241495566,1.603850674,78.86345216,75.69321954,1
370,3.793940355,7.738027771,1.514682577,84.73737865,76.63939423,1
1374,2.657164625,6.284392698,1.266623713,76.34409921,65.36167243,0
747,2.537887467,7.938683168,3.041005022,77.33490618,75.95954523,0
841,3.345417715,4.387477225,3.996426081,77.85930831,73.07777965,0
773,3.502458549,5.412459741,0.281939538,77.25253975,75.75162744,0
919,4.086417636,5.966214766,1.821345646,77.89504255,70.34742943,0
779,3.961456938,5.094950671,2.562236428,76.01174913,86.64385284,0
968,3.752912256,4.988215259,3.678730432,74.86616797,81.42745137,1
1506,4.581416152,6.981123016,1.640697762,75.31599947,73.61200208,0
1098,2.956380091,5.640452519,1.22442123,76.60677717,72.64257399,1
817,2.714331751,3.204104257,1.784976626,76.69215505,76.83992381,0
709,2.809189491,7.388941976,2.659268414,75.82708769,85.68049186,1
765,2.319332761,4.87840009,1.177788977,77.723481,82.6826629,0
791,2.954529013,6.202332722,1.837444451,76.16281082,85.10141558,0
1502,3.665411903,4.559112069,1.099310169,77.02054495,84.29548573,1
500,4.098378245,10.88795711,0.543732364,77.19371607,81.17273444,1
736,3.910651322,1.996638414,3.115193856,83.4128554,78.15365216,1
764,4.295791003,7.41122188,1.851328232,77.11443102,74.74555656,1
978,3.498725644,5.809951112,1.663219592,75.25668594,72.14655475,0
1075,2.930496838,6.87210368,2.360647014,77.57739663,77.51390517,1
783,3.288135466,7.434902939,1.727532883,74.29572788,80.6962132,0
668,3.613017572,3.627399545,1.176296124,76.09921467,81.679781,1
387,5.080666091,5.013999026,2.876388873,73.63165167,73.109661,1
681,4.355864609,7.645249069,1.86059839,79.98666697,69.34445073,1
508,3.375347102,6.937830928,1.308770952,75.85553092,79.390638,1
524,1.868909392,5.641258145,2.109455551,76.06639832,90.34638388,1
1240,4.338728868,4.512453834,1.569757891,76.5075315,72.47545053,1
599,3.922223676,8.868823303,1.726881591,77.9703732,89.41291685,1
899,3.198938152,5.743192938,1.367237881,76.79924683,69.68969174,1
946,2.721636054,7.501501037,2.400739521,77.90873798,75.21455605,1
621,0.973019434,5.679842617,2.028166622,85.8619108,86.51477771,0
398,4.027409071,10.78283449,3.452318116,84.12953144,76.58546302,1
951,4.82210073,5.900031736,2.091937046,74.30054337,87.53132926,1
1248,3.212872427,8.139220871,1.582550889,85.0378977,86.02299079,1
414,3.855161253,10.06942877,1.368353332,76.19084469,70.16942355,1
928,4.86083745,6.101372824,2.480547918,75.88805091,82.66793307,1
937,3.933772133,4.616128157,2.247868098,76.77584029,77.58994923,1
715,3.868666745,5.091304368,2.497381697,77.26106833,73.49928957,1
1112,2.250585041,5.081113924,2.957316404,76.84663615,80.59966846,1
1014,3.202111702,4.355881325,3.173911452,78.75671219,75.05110775,1
1621,3.975351075,3.342588654,1.015608455,78.56365877,71.79632562,0
937,4.350071577,5.051502519,4.879095816,75.03496788,85.84134342,0
860,3.747278182,7.699523374,1.970550926,89.28630161,89.09825434,1
878,2.83002684,4.61446095,1.318952145,84.15161809,78.56231282,0
833,2.50541818,6.895159366,4.87796422,77.69178506,78.13511152,0
557,2.179428113,5.409900358,2.74660523,81.20816149,83.91278134,0
698,4.710916484,4.048665409,2.102222623,75.69486298,80.54242006,1
825,2.991035426,16.34256628,2.814650403,76.41159983,77.31186344,1
504,3.633259777,9.204117894,2.804834202,75.35136646,70.72297006,1
1055,3.948731897,2.29669644,1.621109579,77.47132407,66.0905916,0
884,2.812786743,11.35460709,3.169842952,75.5594564,77.35459606,0
519,5.153973963,7.558646074,3.000454631,76.60404792,70.79335029,1
980,3.534892935,9.049000477,1.02072074,76.79780933,80.01259821,0
552,3.090189975,5.166196114,1.825658319,75.64581999,84.66617458,1
891,2.538577668,7.323520369,1.967228555,75.49071205,75.29610963,0
653,3.881973305,8.980157227,3.31414494,77.49236517,79.5062943,0
443,5.244522501,5.241694096,2.466137798,77.10213264,73.75215658,0
755,4.835669623,2.973395764,2.827606535,74.83214096,85.5162541,1
424,2.887835039,5.537057488,1.230042261,73.98825288,76.90054579,1
818,2.460629564,5.768186452,1.765581833,77.9637297,80.45114133,0
918,3.679249249,7.516652998,2.708845243,76.89693691,78.90848791,0
628,5.152052829,3.772988786,2.353495476,78.30752155,73.38171517,0
999,2.065525026,5.060736186,1.477884963,78.50734611,85.54125588,0
675,2.995069562,2.253490526,1.538999408,74.42904913,91.16851195,1
733,3.574732896,10.32870563,1.63260731,77.27432349,82.16861656,1
620,4.803888799,17.86892133,3.342706854,76.84222206,74.38662347,0
724,2.330137995,6.670744746,1.668165246,77.82331317,72.14840187,0
680,2.707680171,6.802372606,1.944878734,76.06532811,75.26841853,1
911,3.242320934,5.66826337,2.641789463,76.26567127,73.5900521,1
532,2.375175803,6.44443357,1.998349844,82.83041493,83.7870377,0
924,2.658340838,5.40825314,3.331685075,76.87560171,76.55934438,0
982,4.508889373,5.178523418,1.833622256,77.57723909,89.96873747,0
923,2.974072899,3.868675229,1.46263789,75.87000915,85.36304969,0
586,3.716925403,7.014600276,2.088040998,75.03136636,73.26114004,1
840,2.574044629,5.26762219,2.09115582,83.44104638,79.62446236,0
781,2.344274817,4.926656996,3.105468248,82.51368114,91.33839319,1
1022,4.270304974,6.144110451,1.473242976,77.27965723,80.95263348,1
612,3.521003191,6.020546535,2.758078468,76.14881575,87.67943614,0
815,3.487142806,15.8345508,3.588851448,77.15303144,70.6651168,0
914,2.047387317,6.698896496,2.110822035,78.03995457,91.49977162,1
1628,4.635318298,4.873541338,2.540278929,86.88145773,79.57759259,0
510,2.118162054,7.295789399,1.457881081,77.34100533,71.07548901,1
630,5.394470803,6.395031665,3.685967564,77.34395706,71.2996527,0
786,2.475425245,4.828189239,1.306490094,76.73538053,77.49540857,1
775,3.205430739,7.580755494,1.241043111,76.42840972,71.21230331,1
471,3.161668664,3.879185429,2.257505715,78.34922814,79.76626511,0
779,4.192865351,9.923987128,1.748082379,75.12843976,70.22920585,1
1002,5.045339909,7.399345925,2.166345255,77.46459168,81.96307388,1
1464,3.14069407,10.76073529,2.21902205,76.65339828,71.95247914,0
928,3.641853643,7.095227886,3.367164654,76.68679461,82.52878013,1
413,3.860576814,4.920866871,1.561107637,88.01356313,75.21841526,1
713,2.799616737,4.007617736,2.517693346,77.83570895,84.50339622,0
857,3.546741254,10.30214772,1.522891783,76.66568904,70.33137036,0
730,2.894705653,7.200042284,1.611206597,76.20685163,76.34978708,1
540,2.325107864,7.124953613,2.76136236,75.88811952,93.33369317,0
810,2.850880684,7.335832221,1.693691981,82.91244764,90.57904703,0
595,2.873461036,5.272747548,2.732647781,74.22581951,83.64620905,1
871,3.718158634,5.127574896,2.831366024,84.85175449,80.40020404,1
427,2.643333854,5.353643711,6.907917201,74.61222599,70.46021994,1
827,3.980967663,3.315843188,2.730592535,75.58604175,80.22628762,0
1009,3.736482637,4.235111282,2.74805211,83.01146744,81.89104936,0
606,2.895441253,15.8399891,1.054605719,77.13665425,74.39104545,0
822,3.599735886,5.076527992,1.626107443,75.25392432,77.68094012,1
663,3.400009565,5.44995519,0.983850392,75.92676164,78.71224985,1
708,2.947438925,5.088072943,2.924952052,77.46225949,76.9100848,1
862,3.636286828,5.921524022,2.501388619,74.85997844,68.52687762,0
1126,3.407279136,4.321457591,2.05638635,78.1448033,69.74283742,0
555,3.532592936,7.630853542,2.990705259,76.74084416,81.84118972,1
495,3.640083544,2.617189522,3.991755144,84.43772852,82.9431779,1
710,3.639991104,4.561255652,1.624926743,77.90635924,71.71505904,0
1100,2.425711866,6.77556885,2.835183941,76.47151067,76.9436204,0
1877,5.209185676,8.082652167,2.173200871,77.50132382,86.51399947,0
948,2.946278435,15.51327261,6.345753028,75.1195743,87.98690262,1
921,3.135051031,5.230341623,2.90042258,75.950961,86.69877382,1
746,5.135425134,6.23788377,1.591487165,76.3396209,80.70136853,1
851,3.102660178,7.688245676,2.142378103,77.04509644,75.8196062,1
481,4.532485918,8.110481743,2.571132874,76.70906789,73.9616516,1
465,4.061049518,10.68791264,1.813159366,74.82000059,74.49257256,1
731,3.474908663,7.348450076,2.363766664,76.03817414,79.77829892,1
599,3.833395264,6.315495179,2.26007942,75.82405942,78.04687104,1
859,2.861825824,8.591731874,2.941315534,76.08944486,74.43905824,0
1193,3.669257625,7.845989216,1.229372394,85.32262112,67.00910436,1
732,5.446239408,5.123714832,2.475878643,76.8869731,85.78428355,1
1024,5.111173183,7.640231413,1.355008584,78.40145116,81.08863251,1
519,5.225650092,8.357601126,2.418808963,80.05657383,69.34406582,1
1114,4.345886208,6.60209199,1.914754286,75.25873394,67.34168821,1
603,3.091647095,5.632162809,2.651566736,76.19866393,75.04417796,1
801,2.676855273,6.091457568,1.661922576,77.23727521,86.18530625,0
1079,3.693757821,9.426638479,1.897523488,76.96072051,75.58889397,1
411,2.623177454,7.659587529,1.582100906,77.03222951,76.44918989,1
785,3.165942062,7.023926367,1.638242066,76.93822332,84.32210907,1
1136,2.417377184,9.571348511,1.803404322,76.8536074,80.91887948,1
829,3.143582066,6.317572306,2.234249488,75.44982473,80.03995687,0
757,2.953205265,7.670139356,3.548106086,75.4755396,73.45549732,1
1301,2.479021826,6.105712358,2.035941521,77.09579874,77.41508996,0
367,2.39486975,4.404120441,1.812904123,82.35850856,82.58842664,1
741,4.498697894,4.361336606,1.192992497,76.58090235,82.60618133,1
701,5.88233669,4.43013238,1.662492608,76.07969233,79.45811821,1
850,4.407899469,5.081583842,2.96724978,75.55657005,83.31016017,0
544,2.75187648,5.876005965,3.345003197,87.89754261,83.71887967,1
1012,4.74320048,7.745437951,1.093476379,78.2351872,81.00317316,1
901,2.818155577,5.29798994,1.693433458,77.07743994,79.70129395,1
589,3.628936801,7.893734942,1.833565167,74.05303926,81.12553537,1
702,3.980419224,4.936670394,4.963551247,77.00555139,77.73462796,0
410,2.632946613,4.439758573,2.44230126,76.93504732,72.41298003,1
1153,3.727722253,4.542459934,2.713796349,85.68365995,85.62332538,1
434,2.725817829,7.946683657,3.372447244,75.39962976,81.04960998,1
661,2.004924887,4.58136473,1.333132424,76.0225698,78.27335738,1
885,4.437420039,2.126419672,2.809901666,85.11235068,75.0981319,1
755,4.774313363,5.058411094,3.407010447,76.58375732,79.78620659,1
937,3.518313037,6.267017201,2.46920181,75.3084304,76.32636927,1
672,4.169975193,3.952748461,2.84361122,75.86771092,80.91193651,1
632,2.158753018,3.396352839,1.543052748,83.51276767,79.80001956,1
1157,2.049471168,6.205684772,1.458383473,80.07959847,81.86038474,0
723,3.729268136,5.26221487,3.731067684,83.84161525,73.90104113,0
400,2.524695553,3.885888553,2.317354064,78.57798319,67.87682467,1
647,2.672182899,4.847533603,2.679416021,77.4035216,65.83062115,0
771,4.264867064,5.675680948,5.563086039,85.02514638,82.46852707,0
1066,1.716881175,6.109691814,3.453199652,76.55559023,78.54754743,0
650,3.100163409,4.528618733,2.092896742,86.03799992,74.22668705,0
589,1.88333613,5.10447219,2.81354866,77.19893684,85.80408342,0
857,4.751073529,12.9566009,2.596232697,76.86325446,85.35447617,1
802,4.289458639,6.192935542,1.726641416,75.84790283,76.10566555,1
936,3.364813897,6.182247945,4.417287961,75.49151562,82.58005316,0
1673,3.550135231,3.171918703,2.232311633,78.06219782,81.12115814,1
478,3.697712364,4.802267452,2.292491963,74.78095604,73.64729432,1
932,4.342642965,4.70384704,2.155747571,77.8827127,86.92718668,0
929,5.200707543,8.031093676,1.336693872,76.97686307,74.46802246,0
787,3.997357642,12.11170795,2.39387423,76.62387818,78.52601952,0
1416,2.809944413,4.403403956,0.971006401,75.59610804,78.02903415,0
548,3.934513328,5.985997537,3.068311892,76.4998471,74.34540215,0
905,2.30947156,6.400908939,3.274320637,77.3532489,75.99187994,1
679,2.344697216,6.239320327,4.141437347,79.37230834,87.47332788,1
1703,2.973447779,9.823549086,1.474778154,76.57127709,72.90696811,1
736,4.819009267,10.29128001,2.307268338,79.79901927,69.88218506,1
744,2.005440386,7.039151098,1.704813542,76.86743635,86.67227449,1
924,2.768431763,7.054433956,1.371186751,76.16275034,77.87742296,1
1052,3.522196441,5.524576277,6.266875488,77.10356882,70.32025678,1
560,3.857081324,4.91699194,5.959520842,76.43504969,84.46152909,1
655,5.238672641,7.018372535,3.044268592,75.43161225,83.19964938,0
794,5.060360314,8.134557547,2.057678451,82.19162577,84.4368073,1
1016,3.914921932,10.33120817,4.932663993,76.07334509,71.52268355,1
558,2.047613105,2.190560109,3.495529904,87.12453614,81.07680157,1
529,3.870725201,5.120162329,0.884230475,78.27387986,82.72753638,1
536,3.107335323,7.474481334,2.590732856,76.85421729,79.5916449,1
1258,3.123135711,4.575126474,1.376610933,76.21573657,77.89765109,0
607,5.563680837,9.538330395,1.095139422,86.7564633,78.05162434,1
1193,1.732329735,4.576347927,0.797366846,77.56220395,75.59941196,0
742,2.17781017,5.657581504,0.960415882,83.63950439,72.81110749,1
566,4.255685541,12.60580617,1.387059592,74.88155424,77.86664196,1
545,4.611696343,10.9544307,0.920066693,75.2093143,70.86508613,1
555,3.919556059,5.64149302,2.970139284,74.98004819,83.3426301,1
861,2.373899274,6.371981103,4.39800643,77.01546054,72.3326544,0
880,2.961708849,7.530540057,1.770071583,80.17214385,81.99103038,0
510,2.331706038,5.643737742,1.330127179,77.29451947,83.51378615,0
784,4.764209075,12.13457989,1.40205215,74.26924303,83.38889341,0
699,3.05462039,8.429834206,1.285321304,74.46394754,77.15234251,1
445,2.22947703,5.755960511,1.80500906,72.68351093,78.06311933,1
856,5.032239756,6.93264496,0.890164314,77.31796355,72.53413476,0
803,3.752971372,7.105288105,2.769196314,73.95195546,65.87986498,1
823,2.977003507,6.582461945,2.492258707,77.89470388,77.84373896,1
610,2.535006913,4.56886554,1.740176765,81.35015187,79.56755879,0
778,5.294031068,8.276607869,1.138495318,85.41552122,71.20127164,0
647,3.202703005,4.658129585,6.095644534,82.62841909,66.32242994,0
1036,5.336089737,10.11225488,3.211716806,77.6282051,75.06725435,1
779,2.897515867,7.332963271,2.618214974,78.55960842,83.634485,0
773,4.241711279,6.816608561,2.820708624,77.93188908,90.93829181,0
763,4.260129132,5.229988182,2.93215927,74.74522758,77.26364444,1
764,4.926402834,7.832377738,2.963407118,76.73697699,81.32544523,1
936,4.30549588,4.9563285,3.000931373,75.20475415,93.89081552,1
979,2.815907828,3.574738476,0.903004789,75.81130704,83.48019262,0
647,2.122159847,10.43019248,1.38479987,75.41589982,86.83007145,1
645,2.981638895,5.415824035,2.308084464,74.85245831,82.76835455,1
654,1.862320394,6.392290273,1.116905494,74.41641171,71.14599549,1
713,5.111554782,8.196537283,1.679138384,76.55262884,89.82654733,1
914,4.149338249,10.12206816,1.689662905,77.14126477,83.50533888,1
848,4.143512581,2.86629221,2.521902353,86.77647934,77.87564948,1
946,4.948062414,6.773741014,1.412330911,77.81026468,77.31694344,1
1454,2.063374366,6.168260371,1.260120893,83.3722561,82.71824663,0
922,3.121464542,4.326641623,1.571151146,77.73531512,70.47608262,1
575,3.49206329,10.09540306,3.46116807,75.619685,88.14334286,1
987,2.86395991,5.319922695,1.375826635,77.54094358,67.74175818,0
655,3.049225454,8.558616624,2.135557151,74.35515872,79.54537181,0
394,4.113247754,6.705920375,1.690186357,78.44724557,77.33107206,1
817,4.064432726,5.51978122,2.017943697,75.82978981,80.66004973,1
948,4.412476818,4.26697848,2.042493689,77.21337639,85.66323037,0
468,3.055062314,6.469762354,2.873086613,76.33314371,67.51178042,1
466,2.707967716,3.720174628,2.261862962,75.65193473,83.37616191,1
708,4.645687314,10.25141825,2.385651598,77.11516592,79.42175814,1
558,2.503845601,5.907799289,6.562524424,74.5412561,86.24659676,1
650,1.994972056,5.051846495,2.098442191,74.16542737,77.15746361,1
901,3.70861397,16.151676,1.681929564,86.04128928,83.14996369,0
914,3.712221531,5.169226837,4.331322201,77.82501287,74.77342048,1
808,1.991122417,6.125850519,2.744537342,78.16278946,87.86718373,0
779,2.022409872,13.7865859,1.026768907,77.1271708,84.85805631,0
832,4.071541237,6.700027692,1.736726583,74.51005194,85.69583721,1
547,2.57031041,5.0083488,2.177492286,81.94331076,73.89534883,1
982,3.457331739,5.981950403,2.390488417,77.85675244,72.56615358,0
646,5.349087101,4.86907567,2.919987872,77.01940191,80.34321536,0
717,3.32553092,7.388977164,1.565634863,77.21903164,88.17929158,1
543,3.929593297,4.102122271,1.208073006,76.53476231,77.89015614,1
586,3.558887943,5.218662379,3.271067976,76.98348201,71.9368813,1
702,3.977847612,7.037400542,2.32611125,75.52801908,71.49561527,1
984,3.240893891,7.841039261,2.468800693,77.75429418,79.28157977,1
932,3.067649381,7.300653067,2.770631882,78.27853328,72.45354038,0
416,4.320120181,6.294239662,1.748682421,77.67866156,70.00755753,1
754,2.931880538,5.210594877,1.070077031,78.21956338,81.21398998,1
540,3.274324271,4.941901381,1.799691472,81.02684482,74.73556067,1
577,2.111356135,8.851221473,2.577856155,81.31749032,87.6514701,1
1306,3.007561016,5.721505554,2.437687101,75.59991945,73.8709031,1
843,4.215023638,7.051007906,1.551038509,76.06117171,79.49515225,1
633,3.96771059,8.28265852,1.184484783,76.35458878,75.19207695,1
1196,2.209003701,7.164731732,5.847464735,74.39894404,82.3305039,0
1580,3.58443646,6.079412958,1.753013706,74.05250087,86.36120073,0
899,2.294659847,5.300328951,2.509530245,74.45808708,81.88761995,1
546,4.474285023,6.124452574,2.140361677,76.20572915,82.00492979,1
1044,2.718954844,6.728985832,1.313152713,85.40472278,77.825875,1
669,2.460181699,8.380026547,1.851389286,76.51396109,79.44589727,1
906,2.862582911,5.599955943,3.181995002,77.12500114,74.44820295,0
809,4.664444875,7.566739243,2.691795159,77.20860926,75.2562052,0
1480,3.186473078,8.622550807,2.020006167,77.03681811,77.26976134,0
771,3.178259929,4.289521218,1.410251574,77.97215592,65.64138778,1
954,4.026268259,3.930679017,2.198983644,75.55837361,81.49932721,0
544,4.793318788,5.091567262,2.075425737,76.36299724,79.22645515,0
655,3.107896456,6.536969984,2.142271167,75.13153858,77.28476906,1
1069,2.056234404,4.454270242,2.014583582,76.13632283,78.30524217,0
750,4.207832374,5.771060274,1.145841435,76.91911807,75.7122308,0
788,3.271455264,9.214695573,1.3231722,74.24369557,72.71796648,1
769,3.112656994,7.250425958,1.622932395,75.70776241,73.16322133,1
929,3.236417514,4.826405555,3.003392752,83.46907423,91.2653399,1
639,2.395446026,15.29154848,1.773090805,78.14977156,68.16097154,1
513,2.55854354,4.15166431,1.325600771,76.09007686,68.69676335,1
706,3.26884623,11.14085626,2.85117451,74.50584817,73.07764835,1
504,2.588225269,14.6514158,2.36048047,74.03355649,74.76553711,1
500,2.567538163,5.767573666,1.780386018,77.08363334,75.62077616,1
496,4.130983299,8.779807104,2.847980658,77.01372843,75.72165465,1
867,2.767052496,9.885672267,2.738814527,76.10050041,71.63463411,1
805,5.68971182,5.797488374,2.394899101,76.69242805,69.39235131,1
743,2.18721828,11.57822571,2.923512178,75.71865552,80.99994,1
580,2.509516289,5.618440229,1.792702568,75.3872274,74.81088499,1
1127,4.119129043,7.851667349,2.41180058,77.10352592,73.51579975,1
573,2.600951224,7.681884252,2.256943762,82.32460163,73.40052416,1
526,3.784461579,5.071793624,3.200291888,77.09604338,73.13486589,0
640,4.913017684,8.011424669,1.440906772,76.59878234,87.19805695,1
495,3.541827446,4.438543557,1.428871405,76.48639841,78.52609268,1
1001,3.602950532,5.645136069,2.665976571,75.92280433,80.18772786,1
1031,2.601735452,9.338890774,1.278100545,75.73882297,75.24150258,1
350,2.621163247,7.159934114,5.625829499,75.27911634,70.46150653,1
513,3.527457283,5.162343985,1.9854009,75.85289581,74.39378583,1
729,3.70135369,7.875519808,1.698252532,77.88884354,85.01276838,1
1015,3.087603822,11.87377515,2.163798836,76.62488954,84.13962903,0
871,5.44632147,5.538444092,3.868734924,75.61115174,78.83181307,0
1090,2.579803726,5.05421045,2.323047127,84.14110223,82.11571916,0
624,4.393311082,4.761402086,1.184489763,76.29707902,71.26028187,1
1001,2.379043227,8.545446763,2.694457357,76.40226909,83.86688078,0
636,4.473452429,10.84639246,2.767049202,78.66533356,72.1258964,1
487,4.649650588,5.290202528,2.937316284,75.3214536,71.84423686,1
338,3.985187506,5.056964211,5.379134375,77.20979403,84.21774955,1
702,2.513481039,4.052145697,2.869271149,76.75566361,85.81556228,0
917,3.833969997,8.877870204,2.669104418,77.98279647,87.96292372,0
727,5.338423144,16.32532891,1.195041439,75.73763218,71.16741244,1
1141,2.596001408,8.334888418,0.892097105,73.09444769,85.58216129,1
455,2.881245474,4.396173805,1.883054533,75.58432184,78.84243542,1
560,2.042660093,5.01349931,1.665586957,74.38422146,86.69194756,0
446,2.791058793,8.700333072,2.509839689,83.21235851,71.68526777,1
876,3.833886479,2.739789945,1.94469492,77.45191053,72.45228745,1
695,2.609473856,5.305509074,1.877974716,77.82743456,79.34948392,0
450,2.814285683,6.066405919,2.484817165,76.81751268,81.26253918,1
721,2.524895927,4.06323643,2.898886235,74.09583348,76.82837594,1
965,3.676709515,5.276505333,2.088815654,74.23883015,77.52086189,0
666,4.872491384,8.249747308,1.454925575,82.22895635,71.84767075,1
908,3.470501796,5.52551932,0.722190861,76.62018416,77.35290759,1
548,4.144661004,6.187242772,3.967751861,76.78410276,88.21245615,1
1051,2.025690298,1.579126758,2.244480773,77.35493354,76.79087636,0
452,2.900880603,8.871212373,2.714009376,76.56167853,73.30901257,1
809,2.464741128,3.38910899,1.502912909,75.63571597,76.23936186,0
1412,3.181684504,10.53348577,2.357113161,74.7832193,76.79226114,0
949,2.97920783,7.777873183,3.481791438,76.39190337,75.05398869,1
590,2.949196491,13.41302171,1.941940912,77.6196316,88.41892632,1
771,1.816641563,12.07143759,2.303487118,84.84111542,85.69463366,0
530,3.195739533,5.897839616,3.126773128,78.06601207,79.40369255,1
669,2.453496973,10.83620617,1.101120679,78.88396503,76.9442174,0
628,1.998738288,8.219071968,1.457350001,76.24542113,92.02865188,1
622,4.189654712,6.390303756,1.483985541,77.68239407,82.18918541,1
599,3.821001494,8.738251593,2.827836212,77.4842476,78.45991994,1
1052,4.147681706,10.18849988,2.750342348,75.15635932,84.78884315,1
1204,3.401066285,6.446008889,2.68439707,75.12487718,74.84031436,1
777,2.396161847,3.567786725,5.14941401,75.78390827,72.40202804,0
697,1.901855721,5.619076845,0.718926178,75.77368402,68.15735024,0
513,4.831801302,10.26339011,1.160749582,75.80786411,65.90685359,1
926,0.879409118,5.93137593,2.780942803,77.57952636,85.30602236,0
594,3.032545073,4.556302583,2.247911868,77.86286826,73.74187902,0
534,2.386087564,7.348734465,1.315339394,75.36519231,74.10797925,1
516,4.496733394,10.88186109,2.12042147,76.73988785,82.05910845,1
373,4.88071996,13.70111607,1.58196657,76.56236802,82.01475006,1
1417,1.938052164,9.1422064,1.462340786,77.90093172,82.86640765,0
1243,2.035078761,7.458685801,5.102895736,75.83868473,87.23011336,0
721,5.411266572,10.19323773,5.691212089,75.23219669,70.39861521,1
842,4.385639214,9.070833333,1.537679365,75.94378817,84.02292994,1
458,2.423705597,5.024042493,2.748214639,76.76957848,90.17258957,0
1111,2.575110938,4.669751147,1.377955776,74.98533477,87.59036699,1
779,4.665822421,6.472353775,1.33776781,75.45896155,72.1509296,0
990,3.657748467,3.332366931,4.55715919,75.13754259,87.77622369,1
968,5.188625628,6.270315745,2.241498156,76.78155977,65.99415978,1
675,4.380166234,4.336278283,2.724558369,81.80574573,90.04736915,0
520,3.595404872,12.19896676,1.856997792,77.89996409,77.90551202,1
476,1.175037021,6.522007754,1.519683106,77.55659243,73.64690604,0
