Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp,Engine Condition
717,4.090089669,1.296927169,1.716722988,77.22253476,91.46422633,0
803,2.660156939,6.043977425,1.340684224,80.93081627,83.2952059,1
526,4.425978789,6.591823836,3.250140914,75.03813811,66.17491165,1
652,2.252527233,7.415194738,0.515570248,76.25259086,91.60161014,2
959,2.309761579,11.40735036,0.878724173,74.93217312,86.29917742,2
620,4.590019862,6.099459269,2.190013271,77.58287873,69.35708544,1
388,3.75910785,4.977937634,1.274485209,76.60525066,85.17048398,1
1198,4.178146637,6.274379909,2.83780605,76.08284814,77.14909013,0
605,3.219214191,12.69990317,2.147779632,75.50775222,77.08922339,1
758,2.680907152,18.73122212,3.266466353,75.31256851,73.44792816,1
751,4.87726497,7.829674518,1.584482801,77.08614881,78.9717246,1
643,3.269944661,7.63188957,2.405397527,80.7314011,81.94343027,1
733,3.538354396,3.951885394,0.941294816,78.44753967,73.2726363,1
1230,2.71322214,3.302988518,2.971489227,84.27313784,84.89215847,2
850,3.040223885,13.01625931,1.418560414,83.08653338,78.85590311,1
1213,3.605817502,5.127718541,3.718275603,79.62487749,76.33593507,2
712,2.910770904,7.611315198,1.964709147,76.26881248,81.28785994,1
608,4.824025918,7.65660751,3.074874606,74.75480839,73.82767643,1
454,2.327992903,10.40244545,1.597703701,75.13187179,67.30905275,1
1300,2.265558311,7.342696699,1.466285216,75.69142129,85.24862695,2
710,2.103274563,7.914873331,1.320621066,75.51514509,84.47628754,1
1038,5.091286894,7.259548492,1.458766809,77.88128104,83.24156758,0
588,0.303676955,3.768348954,1.06240918,76.10293371,74.1234256,1
654,2.374131867,5.536115326,1.426589804,80.8631508,82.97340543,1
915,3.164552065,3.901303351,2.277785123,83.84382203,83.50704713,2
425,5.51857725,7.410779474,2.748060231,75.71181078,67.547163,1
848,4.143512581,2.86629221,2.521902353,86.77647934,77.87564948,1
649,2.515099498,6.287310825,1.199893815,76.27053573,69.61658458,1
732,2.156715459,15.50727555,1.636698948,73.51689741,85.08649442,1
734,3.251276713,5.785692541,1.261147405,82.47334429,78.48411964,1
1260,4.11748472,5.193181186,3.089205161,76.09139644,91.60013446,0
525,1.91299319,6.721693975,2.420892755,76.89028388,73.74519453,1
668,3.216464519,4.483153942,4.639080742,76.913237,74.28636274,1
814,3.266709277,7.747184865,0.190855366,75.33856396,74.24514928,1
1403,3.336986422,7.314022791,2.352230511,77.51915084,76.32678812,2
514,4.748727132,3.91434636,1.244456541,85.54719814,90.79882297,1
972,3.731897487,6.820286282,3.418168777,83.55053528,77.03034277,2
1252,3.558960062,4.13136363,2.414307572,83.67884638,75.12434171,2
491,2.933948177,12.21217727,2.836201739,81.81957006,77.61064054,1
710,4.28783806,16.16594997,2.560724337,73.81037555,71.0751473,1
690,3.323212253,7.42221768,1.894696282,75.92382918,73.4916211,1
997,2.09740984,8.141458219,2.610920455,76.69332084,79.65524428,2
1002,3.812445073,4.767862679,1.385823911,84.14814375,80.57241712,0
1211,5.477029209,6.384296971,1.085310547,76.06543885,71.23394694,0
584,2.722979649,12.47515027,2.615240663,76.01846537,82.12625117,1
769,2.423884888,5.293837169,1.244759016,75.13725678,85.02875506,2
1390,5.067161228,5.920899437,0.437896004,76.24099233,73.94045853,1
396,1.599074189,6.414378563,2.096494289,75.73393643,76.3212375,1
1246,1.898586842,6.231770636,2.882935454,85.66067604,81.78380891,2
560,4.899979447,6.7273674,2.760673326,79.08596957,85.62175824,0
669,2.939017511,6.655452016,1.362066623,77.2772477,70.76075018,1
797,2.165638943,7.816132783,1.897592219,77.85233568,84.48113932,1
828,2.017131322,10.50051127,2.868029014,75.49229328,70.12791552,1
540,3.274324271,4.941901381,1.799691472,81.02684482,74.73556067,1
919,4.900798881,8.545546731,2.923796708,77.5202023,85.72710865,1
984,4.310012058,7.527920451,2.754243219,76.23472314,68.03680597,1
909,4.582069519,13.52541233,3.235647557,74.85339453,80.24986598,1
1047,1.808632677,9.986380916,3.293835839,74.31251362,74.82716653,1
533,2.496720794,7.028247831,1.779295624,75.64820216,74.07249511,1
891,2.315109978,6.295665692,1.723354648,77.13679156,88.7601381,1
500,2.888588569,7.57746837,4.271799208,78.38494951,75.26953483,1
823,1.999421323,7.475105341,2.634710655,86.37191361,82.80534017,2
502,5.170276043,5.95599284,3.376922201,75.49940761,84.68457621,0
529,3.981474044,6.436382446,1.96014149,75.28972229,78.3203264,1
901,2.500751888,6.261984137,2.204668552,75.34742307,75.79518571,1
775,4.149704946,4.950942379,1.1260889,84.41707734,73.26690136,0
648,2.411552207,0.298398639,1.733716553,82.04362729,70.23487402,2
1052,3.470415656,4.761544286,5.924779979,77.29997941,72.0843474,2
1020,4.755376067,7.135325665,2.379212825,76.27949479,65.66065574,1
569,2.240970171,4.711165189,4.818762239,75.13978336,78.89178095,1
1196,2.209003701,7.164731732,5.847464735,74.39894404,82.3305039,2
392,4.151855184,12.18144055,1.5523498,77.41486988,69.24293765,1
572,3.695789642,3.340985138,1.336450528,78.93458332,77.08039065,2
528,2.987650637,6.745141938,1.363716934,86.2426155,74.8813247,1
1154,4.391431799,4.451851055,1.396360991,85.84991715,75.5837782,1
572,4.638369972,7.870610278,1.653215203,74.64579261,85.79155981,1
461,2.353805043,6.273069456,1.349175505,75.72693018,73.44449259,1
387,5.080666091,5.013999026,2.876388873,73.63165167,73.109661,1
967,1.999938677,6.238140475,0.819217453,82.85285379,73.82181356,2
851,4.164178386,10.1722648,3.020989649,77.4970858,76.95836496,1
564,3.941779216,3.727600496,2.598731656,75.46549511,82.58805183,0
533,3.935740187,6.20171956,1.378096152,81.11464723,74.83063072,1
1068,3.704242939,8.208503267,5.832033524,76.70154733,85.64798208,2
552,3.507428674,4.891495436,0.116396657,74.29689761,73.2198312,1
1109,5.40095734,4.990436562,4.070965865,84.92012396,69.50722179,1
855,3.441764331,12.21709644,2.584408295,76.24095378,73.80622357,2
1171,2.82625566,6.509751709,1.449530598,74.46907477,79.7384304,1
663,4.500924575,5.715177306,3.15070268,76.00711171,81.00853161,1
1045,2.779411622,12.08312682,1.722223427,76.03286793,74.92738854,1
564,3.338776156,4.810572089,0.988227856,76.90935124,76.22669993,2
1069,3.282797525,8.40878366,2.93042922,77.24140728,76.17543308,1
965,4.01695788,2.694161763,4.393354899,77.55454182,79.62901922,0
632,3.734924648,12.5573289,2.627386172,75.48545162,69.99134922,2
884,2.905289867,4.925908245,2.310301854,82.14430303,81.3216981,2
634,4.430440036,7.067376644,2.140868833,74.93758963,80.77428828,1
868,2.295944984,4.221203379,5.858005136,76.00485271,88.28611486,2
803,2.483496661,6.708314985,1.485950355,76.5091829,76.78001387,2
1204,3.275877922,6.371459459,4.595314246,87.45970852,87.68597849,2
907,2.458382351,5.187853354,1.323614456,75.38578776,76.73166217,1
556,2.122973922,5.726176784,1.879269051,76.2518708,79.82336899,2
530,5.106693505,5.258303471,1.890342056,76.73390561,88.52130124,1
591,2.420491413,18.22316606,3.033788928,76.44243803,78.90178648,1
864,4.466683394,6.941708475,1.783871581,74.28711077,84.55886539,1
691,4.340893729,5.714673898,1.622868408,81.92527319,76.04878299,0
729,3.48432651,7.283286813,3.252828264,73.64497416,85.4374597,1
426,4.128386499,6.393743247,0.894590546,81.62087963,78.93959239,1
1069,1.678349015,4.980654695,3.202777876,72.76674656,72.21271275,1
867,3.078749338,6.485742545,1.721776975,78.39497207,83.14948143,2
472,3.966818597,4.438616405,3.104045161,76.77179806,84.20610966,1
580,2.230721753,5.731391009,2.569654357,77.12967125,74.39580689,1
815,3.843436056,7.018121877,4.229605863,76.25157705,72.78700963,1
866,5.389799271,5.933924194,2.459670455,76.35478928,76.56169396,0
767,2.791946172,5.947995813,2.138115942,79.69197207,75.63042081,1
712,4.074211635,4.381536176,1.659094514,73.85990526,70.72179232,0
927,2.875069107,4.13324137,2.845977817,84.62322396,85.27803837,2
507,3.279415481,9.430394395,3.026578766,76.29887473,78.99200009,1
977,5.700200328,5.196521111,2.897153534,80.93705123,69.8995178,1
791,4.789868601,9.361297438,0.857419737,75.89922729,65.41890063,1
555,3.58170362,5.925911581,3.159490118,78.97357718,76.74953694,1
632,4.448659226,7.130086302,1.478957283,82.89440222,84.01089448,1
534,4.041434956,10.40933469,4.792768919,75.68460238,70.38465463,0
441,3.214065091,4.150708217,1.181065063,76.26769279,78.29962625,2
625,2.444818248,6.9115624,1.96113987,74.63460324,84.99853062,1
1020,4.86356502,7.814562645,2.914989518,75.29163811,84.48219025,0
784,5.051789525,0.933304976,1.669229427,76.88461016,85.53195575,0
667,3.409055415,9.506974445,2.886306714,76.85529824,71.02332019,2
969,3.260013213,0.317907599,2.497642238,85.68305996,80.70900376,2
566,3.720735245,6.374333642,2.12375342,78.11466603,73.34352713,1
826,4.879704882,6.580275309,5.842096356,75.60261925,86.46493519,1
915,3.913332748,6.698901281,2.005474001,75.80386353,81.6433719,0
1150,2.037447992,6.741540715,3.672668723,74.79773589,80.30494596,2
1077,4.147730586,7.639341242,1.464019297,76.26829434,80.63517307,1
809,2.838339252,6.46340894,3.319601659,76.46539782,73.63503723,1
642,2.849982454,5.141374061,3.05714165,77.51406335,82.04478232,2
427,2.183279299,6.656093476,1.603486622,75.8430554,71.18833226,1
892,5.77976113,7.677799504,1.373352906,83.02233141,77.72621632,0
845,2.18104482,11.86204856,1.934250871,81.54002727,77.44671026,2
653,2.049093307,3.815108807,2.346869892,75.99176985,75.15648257,1
701,2.383429603,6.876647881,1.889131663,77.31731422,79.60026095,1
919,3.61609765,5.615713285,3.02186988,76.91876963,78.00371507,1
434,2.862170795,7.548703531,3.459477916,76.38586286,88.11242379,1
679,3.292128278,9.109190669,2.856807285,77.193702,82.02155893,1
530,3.846563657,8.666147734,3.086600384,77.87643314,70.59498064,0
747,4.203681777,6.790291816,2.805154682,76.53963189,72.94629518,1
500,3.689782712,4.106458866,2.281461578,77.92101258,77.51127897,2
726,3.133553199,5.998991542,1.990092863,77.43826653,77.73891037,2
659,2.811471732,13.13086292,5.917269774,84.5385616,68.01697804,1
773,4.275990502,4.367926148,2.173845505,77.07337078,76.73643427,1
1245,1.892227963,5.85022477,6.002365582,77.84566168,92.5774016,2
612,3.96598655,15.78746566,6.696821052,77.09490499,81.30612887,0
488,3.164569856,15.83805418,2.840477213,76.80395674,80.20490834,1
1204,4.95478515,5.332384236,3.721466552,75.86186375,81.87259106,1
718,4.629742567,6.874856681,5.449122614,74.94002168,84.50221063,1
479,2.513369073,6.186462383,1.922020773,74.75370795,81.78315692,1
1164,1.77694736,4.55955391,1.293648198,76.66128551,76.76576713,2
879,2.809540804,4.646065334,4.636188027,76.41188369,76.21431912,1
699,2.970785179,8.06970392,2.074204681,77.14516805,70.49408812,1
938,1.759354636,11.67571019,3.378849554,77.02660107,71.29446202,2
580,4.452803216,1.395834602,1.799101847,75.16873233,87.24821873,1
710,3.994456556,19.07674171,5.195582988,76.93829172,72.72144863,1
727,5.05776418,7.565667896,2.964083507,84.07427949,89.41646408,1
744,2.114449847,4.941776552,1.532507516,77.06476618,75.10584021,2
438,2.013924562,5.581861152,2.361852753,78.91452811,72.71985063,1
891,0.345441078,6.39158058,1.405383234,77.48003437,84.55300084,1
979,2.171915549,4.882874111,2.556890641,78.13521093,78.36613761,1
633,3.339562014,1.056442029,1.39651547,85.97695796,76.68360982,2
